classification,rarity,low,high,avg_price
CIl ,R ,128.00,1650.00,889.00
CI2,R,200.00,1000.00,600.00
CM1 ,R,NA ,,
CM2 ,VC ,4.00,100.00,52.00
CR2 ,C ,25.00,200.00,112.50
CH3 ,R ,50.00,500.00,275.00
CB ,C,10.00,,10.00
CO3 ,VC,3.00,100.00,51.50
CK3 ,R,100 ,,
CK4 ,C,10.00,100.00,55.00
CK5 ,R,20.00,150.00,85.00
CK6 ,R,NA ,,
CV3,VC ,2.00,200.00,101.00
CV4 ,R,NA ,,
C4,R,25.00,150.00,87.50
C3-ung,R,100.00,200.00,150.00
LL3,VC,1.00,100.00,50.50
LL4 ,C ,1.00,88.00,44.50
LL5 ,C ,1.00,45.00,23.00
LL6 ,C,1.00,46.00,23.50
LL7 ,R,8.00,100.00,54.00
L3 ,C,2.00,22.00,12.00
L4 ,VC,1.00,25.00,13.00
L5 ,VC ,0.25,140.00,70.13
L6 ,VC,0.10,500.00,250.05
L7 ,VR,NA ,,
H/L3 ,R ,5.00,100.00,52.50
H/L4 ,C ,2.00,15.00,8.50
H3 ,C ,2.00,20.00,11.00
H4 ,VC ,0.15,343.00,171.58
H5 ,VC,0.10,54.00,27.05
H6 ,VC,0.10,100.00,50.05
K3,R ,830 ,,
Fchondrite,R ,40.00,75.00,57.50
EH3 ,VC ,20.00,50.00,35.00
EH4 ,C ,20.00,110.00,65.00
EH5 ,R ,NA ,,
EH6 ,R,NA ,,
EL3 ,R ,NA ,,
EL4 ,R ,100 ,,
EL5 ,R ,NA ,,
EL6 ,C ,10.00,85.00,47.50
ANGRITE ,C,120.00,1000.00,560.00
BRACHINITE,R ,100.00,625.00,362.50
ACAPULCOITE,R,30.00,1000.00,515.00
LODRANITE,R ,2000.00,29108.00,15554.00
WINONAITE,C ,75.00,800.00,437.50
UREILITE,VC ,50.00,385.00,217.50
HOWARDITE,C ,15.00,100.00,57.50
EUCRITE,R ,10.00,100.00,55.00
DIOGENITE,VC ,16.00,85.00,50.50
AUBRITE ,VC ,10.00,200.00,105.00
SHERGOTTITE,VC ,350.00,4000.00,2175.00
NAKHLITE,R ,700.00,35000.00,17850.00
ORTHOPYROXENITE ,VR ,NA ,,
CHASSIGNITE ,VR ,10000.00,142500.00,76250.00
LUNAITE ,C ,750.00,160000.00,80375.00
ANGRITE,C,120.00,1000.00,560.00
BRACHINITE,R ,100.00,625.00,362.50
ACAPULCOITE,R,30.00,1000.00,515.00
LODRANITE,R ,2000.00,29108.00,15554.00
WINONAITE,C ,75.00,800.00,437.50
UREILITE,VC ,50.00,385.00,217.50
HOWARDITE,C ,15.00,100.00,57.50
EUCRITE,R ,10.00,100.00,55.00
DIOGENITES ,VC ,16.00,85.00,50.50
AUBRITE,VC ,10.00,200.00,105.00
SHERGOTTITE,VC ,350.00,4000.00,2175.00
NAKHLITE,R ,700.00,35000.00,17850.00
ORTHOPYROXENITE ,VR ,NA ,,
CHASSIGNITE,VR ,10000.00,142500.00,76250.00
LUNAITE,C ,750.00,160000.00,80375.00
Pallasite,R,0.75,60.00,30.38
