,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
0,Nogata,16988.0,Valid,l6,472.0,Fell,12/28/0860 12:00:00 AM,33.725,130.75,"(33.725000, 130.750000)"
2,Elbogen,7823.0,Valid,"iron, iid",107000.0,Fell,12/24/1399 12:00:00 AM,50.18333,12.73333,"(50.183330, 12.733330)"
4,Ensisheim,10039.0,Valid,ll6,127000.0,Fell,12/23/1491 12:00:00 AM,47.86667,7.35,"(47.866670, 7.350000)"
5,Rivolta de Bassi,22614.0,Valid,stone-uncl,103.3,Fell,12/23/1490 12:00:00 AM,45.48333,9.51667,"(45.483330, 9.516670)"
6,Campo del Cielo,5247.0,Valid,"iron, iab-mg",50000000.0,Found,12/22/1575 12:00:00 AM,-27.46667,-60.583330000000004,"(-27.466670, -60.583330)"
8,Wietrzno-Bobrka,24259.0,Valid,iron,376.0,Found,01/08/0601 12:00:00 AM,49.41667,21.7,"(49.416670, 21.700000)"
10,Allegan,2276.0,Valid,h5,32000.0,Fell,01/01/1899 12:00:00 AM,42.53333,-85.88333,"(42.533330, -85.883330)"
11,Bjurböle,5064.0,Valid,l/ll4,330000.0,Fell,01/01/1899 12:00:00 AM,60.4,25.8,"(60.400000, 25.800000)"
12,Donga Kohrod,7707.0,Valid,h6,230.0,Fell,01/01/1899 12:00:00 AM,21.866670000000003,82.45,"(21.866670, 82.450000)"
13,Magnesia,15386.0,Valid,"iron, iab-shl",5000.0,Fell,01/01/1899 12:00:00 AM,37.86667,27.51667,"(37.866670, 27.516670)"
14,Peramiho,18792.0,Valid,eucrite-mmict,165.0,Fell,01/01/1899 12:00:00 AM,-10.66667,35.5,"(-10.666670, 35.500000)"
15,Rancho de la Presa,22390.0,Valid,h5,300.0,Fell,01/01/1899 12:00:00 AM,19.866670000000003,-100.81667,"(19.866670, -100.816670)"
16,Zomba,30412.0,Valid,l6,7500.0,Fell,01/01/1899 12:00:00 AM,-15.183329999999998,35.28333,"(-15.183330, 35.283330)"
17,Castray River,5294.0,Valid,iron,10.0,Found,01/01/1899 12:00:00 AM,-41.5,145.41666999999998,"(-41.500000, 145.416670)"
18,Gerona,10906.0,Valid,h5,148.0,Found,01/01/1899 12:00:00 AM,41.96667,2.8166700000000002,"(41.966670, 2.816670)"
19,Illinois Gulch,12024.0,Valid,"iron, ungrouped",2500.0,Found,01/01/1899 12:00:00 AM,46.68333,-112.55,"(46.683330, -112.550000)"
20,Kissij,12324.0,Valid,h5,5500.0,Found,01/01/1899 12:00:00 AM,54.86666999999999,50.88333,"(54.866670, 50.883330)"
21,Murphy,16881.0,Valid,"iron, iiab",7700.0,Found,01/01/1899 12:00:00 AM,35.1,-84.03333,"(35.100000, -84.033330)"
22,Red Willow,22550.0,Valid,iron,2750.0,Found,01/01/1899 12:00:00 AM,40.25,-100.5,"(40.250000, -100.500000)"
23,Surprise Springs,23761.0,Valid,"iron, iab-sll",1500.0,Found,01/01/1899 12:00:00 AM,34.16667,-115.91667,"(34.166670, -115.916670)"
24,Andover,2295.0,Valid,l6,3200.0,Fell,01/01/1898 12:00:00 AM,44.61667,-70.75,"(44.616670, -70.750000)"
25,Mariaville,15419.0,Valid,iron,340.0,Fell,01/01/1898 12:00:00 AM,42.71667,-99.38333,"(42.716670, -99.383330)"
26,Mjelleim,16707.0,Valid,h,100.7,Fell,01/01/1898 12:00:00 AM,61.73333,5.933330000000001,"(61.733330, 5.933330)"
27,Quesa,22360.0,Valid,"iron, iab-ung",10750.0,Fell,01/01/1898 12:00:00 AM,39.0,-0.66667,"(39.000000, -0.666670)"
28,Zaisho,30389.0,Valid,"pallasite, pmg-an",330.0,Fell,01/01/1898 12:00:00 AM,33.7,133.8,"(33.700000, 133.800000)"
29,Alt Bela,2283.0,Valid,"iron, iid",4000.0,Found,01/01/1898 12:00:00 AM,49.76667,18.25,"(49.766670, 18.250000)"
30,Andryushki,2297.0,Valid,l6,26.6,Found,01/01/1898 12:00:00 AM,49.65,29.633329999999997,"(49.650000, 29.633330)"
31,Armanty,2335.0,Valid,"iron, iiie",28000000.0,Found,01/01/1898 12:00:00 AM,47.0,88.0,"(47.000000, 88.000000)"
32,Bendock,5016.0,Valid,pallasite,27000.0,Found,01/01/1898 12:00:00 AM,-37.15,148.91666999999998,"(-37.150000, 148.916670)"
