Recclass,Mass,Normalized,Final
Acapulcoite,"26,003",161.2558774,12.69865652
Acapulcoite/Lodranite,153,12.38789732,3.519644488
Acapulcoite/lodranite,1,1.140175425,1.067789972
Achondrite-prim,"7,459",86.36550237,9.293304169
Achondrite-ung,"31,380",177.1445173,13.30956488
Angrite,"27,768",166.6360405,12.90875829
Aubrite,"4,227,660",2056.127462,45.3445417
Aubrite-an,"50,345",224.3760682,14.97918784
Brachinite,"11,096",105.3362711,10.263346
C,"1,252",35.37767658,5.947913632
C1/2-ung,42,6.45987616,2.541628643
C2,1,0.894427191,0.945741609
C2-ung,"15,740",125.4606313,11.200921
C3-ung,"7,411",86.08600351,9.278254335
C3/4-ung,12,3.464101615,1.861209718
C4,58,7.611832894,2.758955037
C4-ung,"5,248",72.44308111,8.511350134
C4/5,226,15.03329638,3.877279507
C5/6-ung,169,13.00769003,3.606617534
C6,166,12.8996124,3.59160304
CB,758,27.52271789,5.246209859
CBa,"220,216",469.2717763,21.66268165
CBb,"3,268",57.16467441,7.560732399
CH3,"4,741",68.85673533,8.297995862
CH/CBb,"16,000",126.4911064,11.2468265
Chondrite-fusion crust,3,1.685229955,1.298164071
Chondrite-ung,"7,060",84.02636491,9.166589601
CI1,"21,512",146.668797,12.11068937
CK,86,9.284395511,3.047030605
CK3,"2,471",49.70553289,7.050215095
CK3-an,"1,622",40.27157807,6.345989132
CK3.8,195,13.96424004,3.736875706
CK3/4,167,12.92284798,3.594836294
CK4,"92,360",303.9071569,17.43293311
CK4-an,"8,788",93.74433316,9.682165727
CK4/5,"2,737",52.31433838,7.232865157
CK5,"11,283",106.2199605,10.30630683
CK5/6,686,26.18778341,5.117400064
CK6,455,21.33260415,4.618723217
CM,"1,370",37.01351105,6.08387303
CM1,853,29.20496533,5.404161853
CM1/2,"3,089",55.57958258,7.455171533
CM2,"150,999",388.5861307,19.71258813
CM2-an,13,3.563705936,1.887778042
CM-an,132,11.48912529,3.389561224
CO3,"155,407",394.2163175,19.85488145
CO3.0,"4,601",67.82801781,8.235776697
CO3.1,"1,529",39.10242959,6.253193551
CO3.2,"204,102",451.7766152,21.25503741
CO3.3,"30,127",173.5716279,13.17465855
CO3.4,"7,078",84.13067217,9.172277371
CO3.5,"56,986",238.7175737,15.45048781
CO3.6,"4,582",67.68832987,8.22729177
CO3.7,"1,600",40,6.32455532
CO3.8,"23,596",153.6098955,12.39394592
CR,"2,012",44.85064102,6.697062119
CR1,106,10.30533842,3.210192895
CR2,"18,735",136.8770251,11.6994455
CR2-an,160,12.64911064,3.55655882
CR-an,"114,000",337.6388603,18.37495198
CV2,31,5.531726674,2.351962303
CV3,"2,144,791",1464.510535,38.26892388
CV3-an,"3,303",57.47347214,7.581126047
Diogenite,"195,761",442.4483812,21.034457
Diogenite-an,563,23.71919054,4.870235163
Diogenite-olivine,"3,673",60.6069303,7.785045298
Diogenite-pm,"22,188",148.9563695,12.20476831
E,"400,439",632.8023309,25.15556262
E3,492,22.17769149,4.709319642
E3-an,154,12.40967365,3.52273667
E4,171,13.06713435,3.614849146
E5,5,2.343074903,1.530710588
E5-an,10,3.125699922,1.76796491
E6,"2,606",51.04556788,7.144618106
E-an,94,9.710818709,3.116218656
EH,1,0.768114575,0.87642146
EH3,"31,238",176.7441371,13.2945153
EH3/4-an,28,5.291502622,2.300326634
EH4,"138,630",372.3306058,19.29587017
EH4/5,354,18.80425484,4.336387303
EH5,"27,924",167.1054458,12.92692716
EH6,164,12.79972656,3.577670549
EH6-an,76,8.695401083,2.948796548
EH7,"2,428",49.27372525,7.019524574
EH7-an,"4,720",68.70225615,8.288682413
EH-imp melt,496,22.27599605,4.719745337
EL3,"2,433",49.32788258,7.023381136
EL3/4,35,5.882176468,2.425319869
EL4,"2,915",53.98694287,7.347580749
EL4/5,609,24.67589917,4.96748419
EL5,"3,394",58.2571884,7.632639674
EL6,"132,106",363.4641028,19.06473453
EL6/7,"116,300",341.0278581,18.4669396
EL7,421,20.51828453,4.529711307
Enst achon,659,25.66904751,5.066463018
Enst achon-ung,"9,443",97.17509969,9.857743134
Eucrite,"77,248",277.935041,16.67138389
Eucrite-an,"19,389",139.2443895,11.80018599
